numUsuario,periodo,anio,lecturaActual,consumoMedidor,precio,importeConsumo,coutaFija,recargos,cooperacion,bonificaciones,sanciones,varios,totalPagar,fechaPAgo,notas,aviso,status
037,5,2019,743,22,4,88,0,0,0,0,0,0,88,2019-10-06,,,1
037,6,2019,759,16,4,64,40,0,0,0,0,0,104,NULL,,"Sin aviso",0
038,4,2019,712,1,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
038,5,2019,712,0,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
038,6,2019,712,0,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
039,4,2019,220,17,4,68,0,0,0,0,0,0,68,2019-09-28,,,1
039,5,2019,246,26,4,104,0,0,0,0,0,0,104,2019-10-06,,,1
039,6,2019,261,15,4,60,40,0,0,0,0,0,100,NULL,,"Sin aviso",0
040,4,2019,0,0,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
040,5,2019,0,0,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
041,4,2019,588,11,4,44,0,0,0,0,0,0,44,2019-09-28,,,1
041,5,2019,600,12,4,48,0,0,0,0,0,0,48,2019-10-06,,,1
041,6,2019,609,9,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
042,4,2019,1095,6,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
042,5,2019,1098,3,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
042,6,2019,1102,4,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
043,4,2019,1884,29,4,116,0,0,0,0,0,0,116,2019-09-28,,,1
043,5,2019,1915,31,4,124,0,0,0,0,0,0,124,2019-10-06,,,1
043,6,2019,1950,35,4,140,40,0,0,0,0,0,180,NULL,,"Sin aviso",0
044,4,2019,1205,12,4,48,0,0,0,0,0,0,48,2019-09-28,,,1
044,5,2019,1229,24,4,96,0,0,0,0,0,0,96,2019-10-06,,,1
044,6,2019,1238,9,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
045,4,2019,1890,4,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
045,5,2019,1893,3,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
045,6,2019,1896,3,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
046,4,2019,631,3,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
046,5,2019,631,0,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
046,6,2019,631,0,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
047,4,2019,2774,31,4,124,0,0,0,0,0,0,124,2019-09-21,,,1
047,5,2019,2816,42,4,168,0,0,0,0,0,0,168,2019-10-06,,,1
047,6,2019,2848,32,4,128,40,0,0,0,0,0,168,NULL,,"Sin aviso",0
048,4,2019,1666,63,4,252,0,0,0,0,0,0,252,2019-09-28,,,1
048,5,2019,1729,63,4,252,0,0,0,0,0,0,252,2019-10-06,,,1
048,6,2019,1778,49,4,196,40,0,0,0,0,0,236,NULL,,"Sin aviso",0
049,4,2019,311,33,4,132,0,0,0,0,0,0,132,2019-09-21,,,1
049,5,2019,366,55,4,220,0,0,0,0,0,0,220,2019-10-06,,,1
049,6,2019,403,37,4,148,40,0,0,0,0,0,188,NULL,,"Sin aviso",0
050,4,2019,3563,49,4,196,0,0,0,0,0,0,196,2019-09-21,,,1
050,5,2019,3621,58,4,232,0,0,0,0,0,0,232,2019-10-06,,,1
050,6,2019,3667,46,4,184,40,0,0,0,0,0,224,NULL,,"Sin aviso",0
051,4,2019,1579,22,4,88,0,0,0,0,0,0,88,2019-09-28,,,1
051,5,2019,1609,30,4,120,0,0,0,0,0,0,120,2019-10-06,,,1
051,6,2019,1629,20,4,80,40,0,0,0,0,0,120,NULL,,"Sin aviso",0
052,4,2019,430,21,4,84,0,0,0,0,0,0,84,2019-09-21,,,1
052,5,2019,461,31,4,124,0,0,0,0,0,0,124,2019-10-06,,,1
052,6,2019,479,18,4,72,40,0,0,0,0,0,112,NULL,,"Sin aviso",0
053,4,2019,428,24,4,96,0,0,0,0,0,0,96,2019-09-21,,,1
053,5,2019,473,45,4,180,0,0,0,0,0,0,180,2019-10-06,,,1
053,6,2019,495,22,4,88,40,0,0,0,0,0,128,NULL,,"Sin aviso",0
054,4,2019,1333,10,4,40,0,0,0,0,0,0,40,2019-09-21,,,1
054,5,2019,1342,9,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
054,6,2019,1348,6,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
055,4,2019,2766,28,4,112,0,0,0,0,0,0,112,2019-09-21,,,1
055,5,2019,2797,31,4,124,0,0,0,0,0,0,124,2019-10-06,,,1
055,6,2019,2823,26,4,104,40,0,0,0,0,0,144,NULL,,"Sin aviso",0
056,4,2019,2370,32,4,128,0,0,0,0,0,0,128,2019-09-21,,,1
056,5,2019,2397,27,4,108,0,0,0,0,0,0,108,2019-10-06,,,1
